"Date","Price","Open","High","Low","Vol.","Change %"
"12/11/2014","0.900","0.900","0.900","0.880","254.19K","1.12%"
"12/10/2014","0.890","0.880","0.890","0.880","1.00K","1.14%"
"12/09/2014","0.880","0.900","0.900","0.880","185.00K","-5.38%"
"12/08/2014","0.930","0.890","0.930","0.890","51.75K","5.68%"
"12/07/2014","0.880","0.860","0.880","0.860","100.25K","-6.38%"
"12/04/2014","0.940","0.940","0.970","0.900","237.25K","10.59%"
"12/01/2014","0.850","0.860","0.860","0.850","55.62K","-5.56%"
"11/30/2014","0.900","0.910","0.920","0.900","313.94K","-5.26%"
"11/27/2014","0.950","0.950","0.950","0.940","71.16K","4.40%"
"11/26/2014","0.910","0.990","0.990","0.910","6.16K","1.11%"
"11/25/2014","0.900","0.980","0.980","0.900","1.37M","-7.22%"
"11/24/2014","0.970","0.980","0.980","0.960","294.27K","-1.02%"
"11/23/2014","0.980","0.980","0.980","0.980","0.13K","2.08%"
"11/20/2014","0.960","0.950","0.960","0.950","41.19K","2.13%"
"11/19/2014","0.940","0.970","0.970","0.940","923.82K","-5.05%"
"11/18/2014","0.990","0.970","1.000","0.970","58.75K","2.06%"
"11/17/2014","0.970","0.970","0.980","0.970","26.50K","-1.02%"
"11/16/2014","0.980","0.990","0.990","0.980","225.00K","-1.01%"
"11/13/2014","0.990","1.000","1.010","0.990","3.44M","0.00%"
"11/12/2014","0.990","1.000","1.040","0.990","530.27K","-1.00%"
"11/10/2014","1.000","0.980","1.000","0.980","800.41K","2.04%"
"11/09/2014","0.980","1.030","1.050","0.960","192.43K","2.08%"
"11/06/2014","0.960","1.020","1.020","0.960","7.37K","0.00%"
"11/05/2014","0.960","1.000","1.000","0.960","274.46K","-4.00%"
"11/04/2014","1.000","1.000","1.000","1.000","100.00K","0.00%"
"11/03/2014","1.000","0.970","1.000","0.970","200.00K","0.00%"
"11/02/2014","1.000","0.990","1.000","0.990","89.58K","1.01%"
"10/30/2014","0.990","0.970","1.000","0.970","1.03M","3.13%"
"10/29/2014","0.960","0.970","1.000","0.960","722.64K","-3.03%"
"10/28/2014","0.990","0.960","1.000","0.960","991.78K","-1.00%"
"10/27/2014","1.000","0.980","1.000","0.980","256.00K","1.01%"
"10/26/2014","0.990","0.960","1.010","0.960","153.56K","-1.00%"
"10/23/2014","1.000","0.970","1.000","0.970","143.66K","0.00%"
"10/22/2014","1.000","0.980","1.000","0.980","74.50K","3.09%"
"10/21/2014","0.970","0.990","1.000","0.970","1.00M","-3.00%"
"10/20/2014","1.000","1.030","1.030","1.000","460.00K","0.00%"
"10/19/2014","1.000","1.020","1.030","1.000","879.65K","1.01%"
"10/16/2014","0.990","1.000","1.000","0.950","3.23M","-1.98%"
"10/15/2014","1.010","1.020","1.020","1.010","1.47M","-1.94%"
"10/14/2014","1.030","1.040","1.080","1.000","2.28M","-0.96%"
"10/13/2014","1.040","1.090","1.100","1.040","1.94M","-5.45%"
"10/12/2014","1.100","1.100","1.100","1.090","1.07M","-0.90%"
"10/09/2014","1.110","1.120","1.120","1.100","2.40M","-1.77%"
"10/08/2014","1.130","1.120","1.140","1.120","2.08M","-0.88%"
"10/07/2014","1.140","1.120","1.140","1.120","5.50K","1.79%"
"10/02/2014","1.120","1.150","1.150","1.120","529.37K","0.00%"
"10/01/2014","1.120","1.150","1.150","1.120","119.36K","-2.61%"
"09/30/2014","1.150","1.110","1.150","1.110","286.60K","0.88%"
"09/29/2014","1.140","1.180","1.190","1.140","745.60K","-0.87%"
"09/28/2014","1.150","1.190","1.190","1.140","888.48K","0.00%"
"09/25/2014","1.150","1.170","1.170","1.150","46.06K","0.88%"
"09/24/2014","1.140","1.150","1.150","1.130","988.68K","-0.87%"
"09/23/2014","1.150","1.150","1.150","1.150","1.33K","-0.86%"
"09/22/2014","1.160","1.150","1.160","1.150","450.00K","0.00%"
"09/21/2014","1.160","1.160","1.180","1.160","27.50K","-0.85%"
"09/18/2014","1.170","1.190","1.190","1.170","199.18K","-0.85%"
"09/17/2014","1.180","1.170","1.180","1.170","2.29K","0.00%"
"09/16/2014","1.180","1.170","1.180","1.150","425.92K","0.85%"
"09/15/2014","1.170","1.170","1.200","1.170","45.17K","0.00%"
"09/14/2014","1.170","1.170","1.170","1.170","14.98K","-2.50%"
"09/11/2014","1.200","1.150","1.200","1.150","109.12K","2.56%"
"09/10/2014","1.170","1.170","1.180","1.160","1.17M","-1.68%"
"09/09/2014","1.190","1.180","1.190","1.180","50.00K","0.85%"
"09/08/2014","1.180","1.190","1.190","1.170","647.16K","-0.84%"
"09/07/2014","1.190","1.190","1.190","1.190","253.22K","-2.46%"
"09/04/2014","1.220","1.200","1.220","1.180","951.07K","0.83%"
"09/03/2014","1.210","1.220","1.220","1.180","2.59M","-0.82%"
